geoid,FIPS,geoid20,year,total_pop,snap_accepting_count,snap_rate
1400000U,06037183220,183220,2021,3370,1,2.9673591
1400000U,06037183221,183221,2021,3530,2,5.6657224
1400000U,06037183300,183300,2021,3517,3,8.5299969
1400000U,06037183401,183401,2021,2436,1,4.1050901
1400000U,06037183402,183402,2021,2867,1,3.4879665
1400000U,06037183520,183520,2021,3944,1,2.535497
1400000U,06037183610,183610,2021,2909,4,13.75043
1400000U,06037183620,183620,2021,2994,1,3.3400133
1400000U,06037183701,183701,2021,3329,3,9.0117149
1400000U,06037183702,183702,2021,2925,1,3.4188035
1400000U,06037183810,183810,2021,4369,7,16.021973
1400000U,06037185101,185101,2021,2924,1,3.4199727
1400000U,06037185310,185310,2021,3053,2,6.5509334
1400000U,06037185320,185320,2021,2831,1,3.5323207
1400000U,06037186100,186100,2021,4848,1,2.0627062
1400000U,06037186201,186201,2021,3503,3,8.5640879
1400000U,06037186202,186202,2021,1739,4,23.001724
1400000U,06037186302,186302,2021,5082,1,1.9677292
1400000U,06037186401,186401,2021,3042,4,13.149244
1400000U,06037186404,186404,2021,2795,3,10.733453
1400000U,06037187101,187101,2021,2983,1,3.35233
1400000U,06037187102,187102,2021,4588,3,6.5387969
1400000U,06037187300,187300,2021,3688,2,5.4229937
1400000U,06037188100,188100,2021,3842,5,13.014055
1400000U,06037188201,188201,2021,3077,1,3.2499187
1400000U,06037188300,188300,2021,3738,2,5.3504548
1400000U,06037189101,189101,2021,2366,1,4.2265425
1400000U,06037189102,189102,2021,3910,2,5.1150894
1400000U,06037189201,189201,2021,3020,2,6.6225166
1400000U,06037189501,189501,2021,2293,1,4.3610988
1400000U,06037189502,189502,2021,1948,1,5.1334701
1400000U,06037189702,189702,2021,2121,1,4.714757
1400000U,06037189801,189801,2021,1766,4,22.650057
1400000U,06037189802,189802,2021,1917,1,5.2164841
1400000U,06037189904,189904,2021,2270,2,8.8105726
1400000U,06037189906,189906,2021,2467,1,4.0535064
1400000U,06037189907,189907,2021,2416,1,4.1390729
1400000U,06037190101,190101,2021,1659,5,30.138638
1400000U,06037190102,190102,2021,2473,1,4.0436716
1400000U,06037190201,190201,2021,2928,3,10.245902
1400000U,06037190202,190202,2021,2988,3,10.04016
1400000U,06037190302,190302,2021,2811,1,3.5574529
1400000U,06037190303,190303,2021,2608,2,7.6687117
1400000U,06037190402,190402,2021,2169,2,9.2208395
1400000U,06037190510,190510,2021,3710,5,13.477089
1400000U,06037190520,190520,2021,3864,6,15.52795
1400000U,06037190701,190701,2021,1551,4,25.789812
1400000U,06037190702,190702,2021,1161,1,8.6132641
1400000U,06037190801,190801,2021,3001,2,6.6644454
1400000U,06037190802,190802,2021,2944,1,3.3967392
1400000U,06037190901,190901,2021,3613,5,13.838915
1400000U,06037190902,190902,2021,3711,1,2.6946914
1400000U,06037191000,191000,2021,4894,3,6.1299548
1400000U,06037191110,191110,2021,3104,5,16.108248
1400000U,06037191120,191120,2021,3775,5,13.245033
1400000U,06037191201,191201,2021,5007,5,9.9860191
1400000U,06037191203,191203,2021,2345,5,21.321962
1400000U,06037191204,191204,2021,1513,3,19.828156
1400000U,06037191301,191301,2021,2242,2,8.9206066
1400000U,06037191302,191302,2021,1807,1,5.5340343
1400000U,06037191410,191410,2021,3372,4,11.862396
1400000U,06037191420,191420,2021,3515,7,19.914652
1400000U,06037191500,191500,2021,5503,5,9.0859528
1400000U,06037191610,191610,2021,3938,8,20.31488
1400000U,06037191620,191620,2021,2857,4,14.0007
1400000U,06037191710,191710,2021,2633,4,15.191796
1400000U,06037191720,191720,2021,3447,6,17.406441
1400000U,06037191810,191810,2021,2981,3,10.063737
1400000U,06037191820,191820,2021,3518,2,5.6850481
1400000U,06037191901,191901,2021,3609,4,11.083403
1400000U,06037191902,191902,2021,2778,1,3.5997121
1400000U,06037192002,192002,2021,2639,2,7.5786281
1400000U,06037192420,192420,2021,3657,2,5.4689636
1400000U,06037192510,192510,2021,3769,1,2.6532238
1400000U,06037192520,192520,2021,5333,1,1.8751172
1400000U,06037192610,192610,2021,3892,3,7.7081194
1400000U,06037192620,192620,2021,3415,2,5.8565154
1400000U,06037192700,192700,2021,3934,3,7.6258264
1400000U,06037194200,194200,2021,3542,1,2.8232636
1400000U,06037194401,194401,2021,2444,2,8.1833057
1400000U,06037194402,194402,2021,3314,1,3.0175016
1400000U,06037195100,195100,2021,5106,1,1.9584802
1400000U,06037195201,195201,2021,2816,1,3.5511363
1400000U,06037195400,195400,2021,4214,3,7.1191268
1400000U,06037195500,195500,2021,5162,2,3.8744674
1400000U,06037195600,195600,2021,2760,6,21.73913
1400000U,06037195710,195710,2021,4529,2,4.4159861
1400000U,06037195720,195720,2021,1878,1,5.3248138
1400000U,06037195802,195802,2021,2928,3,10.245902
1400000U,06037195803,195803,2021,2305,1,4.3383946
1400000U,06037195804,195804,2021,2719,1,3.6778228
1400000U,06037197300,197300,2021,3944,2,5.0709939
1400000U,06037197410,197410,2021,3727,1,2.6831231
1400000U,06037197420,197420,2021,3906,3,7.6804914
1400000U,06037197500,197500,2021,3964,2,5.0454087
1400000U,06037197600,197600,2021,2214,4,18.066847
1400000U,06037199001,199001,2021,2083,2,9.6015358
1400000U,06037199002,199002,2021,2714,3,11.053795
1400000U,06037199120,199120,2021,4023,3,7.4571214
1400000U,06037199201,199201,2021,3686,6,16.277807
1400000U,06037199202,199202,2021,2807,1,3.5625222
1400000U,06037199300,199300,2021,4288,3,6.9962687
1400000U,06037199400,199400,2021,4962,3,6.045949
1400000U,06037199700,199700,2021,2940,1,3.4013605
1400000U,06037199801,199801,2021,3740,2,5.3475938
